ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CPA1,"loc101734468.S, syt4.S, loc101734468.L","MGC84272 protein [Xenopus laevis], synaptotagmin 4 [Xenopus laevis], NA","SYT4, SYT11",Synaptotagmin
ENOG411CPA2,mdm1.L,NA,MDM1,Mdm1 nuclear protein homolog (mouse)
ENOG411CPA3,rtn2.S,"RecName: Full=Reticulon-2; Short=xRTN2, RTN2 protein [Xenopus laevis], RTN2-B [Xenopus laevis], RTN2-C [Xenopus laevis], NA",RTN2,Reticulon 2
ENOG411CPA4,"dzip1l.L, dzip1l.S",NA,DZIP1L,DAZ interacting protein 1-like
ENOG411CPA5,sfi1-like.L,NA,SFI1,"Sfi1 homolog, spindle assembly associated (yeast)"
ENOG411CPA6,"Xelaev18033184m.g, atp2c2.L, Xelaev18033185m.g, Xelaev18031124m.g, atp2c2.S","ATPase, Ca++ transporting, type 2C, member 2 [Xenopus laevis], NA","ATP2C1, ATP2C2","ATPase, Ca transporting, type 2C, member"
ENOG411CPA7,"st7l.L, st7.S","suppression of tumorigenicity 7 [Xenopus laevis], NA","ST7, ST7L",Suppression of tumorigenicity 7
ENOG411CPA8,"kcnmb4.L, kcnmb4.S",NA,KCNMB4,"potassium large conductance calcium-activated channel, subfamily M, beta member 4"
ENOG411CPA9,rpl12.L,"ribosomal protein L12 [Xenopus laevis], NA",RPL12,Ribosomal protein L12
ENOG411CPAB,"diexf.L, diexf.S","LOC100036812 protein [Xenopus laevis], LOC100037097 protein [Xenopus laevis], NA",DIEXF,Digestive organ expansion factor homolog (Zebrafish)
ENOG411CPAC,"galnt3.S, Xelaev18013496m.g, Xelaev18015973m.g, Xelaev18013495m.g, Xelaev18015974m.g, galnt3.L","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6) [Xenopus laevis], LOC445879 protein [Xenopus laevis], NA","GALNT3, GALNT6",UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase
ENOG411CPAD,"gabbr2.S, gabbr1.S, gabbr1.L","gamma-aminobutyric acid B receptor 1 [Xenopus laevis], gamma-aminobutyric acid B receptor 2 [Xenopus laevis], LOC733216 protein [Xenopus laevis], NA","GABBR1, GABBR2",Gamma-aminobutyric acid (GABA) B receptor
ENOG411CPAE,"stra6.L, stra6.S",NA,STRA6,stimulated by retinoic acid 6 homolog (mouse)
ENOG411CPAF,NA,Mks1 protein [Xenopus laevis],MKS1,Meckel syndrome type 1
ENOG411CPAG,"slc41a1.L, slc41a2.S, slc41a1.S","solute carrier family 41 member 2 [Xenopus laevis], NA","SLC41A1, SLC41A2",solute carrier family 41 member
ENOG411CPAH,"rwdd3.L, rwdd3.S",NA,RWDD3,RWD domain containing 3
ENOG411CPAI,"foxa2.S, foxa4.S, foxa2.L","RecName: Full=Forkhead box protein A1-A; Short=FoxA1a; AltName: Full=Fork head domain-related protein 7; Short=xFD-7; AltName: Full=Hepatocyte nuclear factor 3-alpha homolog A; Short=HNF3alpha homolog A; Short=xHNF3alpha-A, RecName: Full=Forkhead box protein A2-B; Short=FoxA2-B; Short=FoxA2b; AltName: Full=Fork head domain-related protein 3'; Short=xFD-3'; AltName: Full=Hepatocyte nuclear factor 3-beta homolog B; Short=HNF-3-beta-B; Short=HNF3-beta homolog B; Short=HNF3-beta-B; Short=xHNF3-beta-B, RecName: Full=Forkhead box protein A4-A; Short=FoxA4-A; Short=FoxA4a; AltName: Full=Fork head domain-related protein 1; Short=xFD-1; AltName: Full=Protein pintallavis, LOC100125667 protein [Xenopus laevis], forkhead box protein A4-B [Xenopus laevis], forkhead box protein A4-A [Xenopus laevis], forkhead box protein A1-B [Xenopus laevis], LOC100127318 protein [Xenopus laevis], XFD-1 [Xenopus laevis], forkhead box protein A2-A [Xenopus laevis], pintallavis [Xenopus laevis], NA","FOXA1, FOXA2",forkhead box
ENOG411CPAK,"loc105946059.L, ephx1.L","epoxide hydrolase 1, microsomal (xenobiotic) [Xenopus laevis], NA",EPHX1,"Epoxide hydrolase 1, microsomal (Xenobiotic)"
ENOG411CPAM,"cdk18.S, cdk18.L",NA,CDK18,Cyclin-dependent kinase 18
ENOG411CPAN,"clstn3.L, clstn2.L, clstn2.S, clstn1.S, clstn3.S","calsyntenin 3 [Xenopus laevis], NA","CLSTN1, CLSTN2, CLSTN3",Calsyntenin
ENOG411CPAP,"fam219b.S, fam219b.L",NA,FAM219B,"family with sequence similarity 219, member B"
ENOG411CPAQ,zcchc8.L,"zinc finger CCHC domain-containing protein 8 [Xenopus laevis], NA",ZCCHC8,"Zinc finger, CCHC domain containing 8"
ENOG411CPAR,c2cd3.S,NA,C2CD3,C2 calcium-dependent domain containing 3
ENOG411CPAT,"pcdhac2.L, Xetrov90007373m.S, Xetrov90007415m.L, loc100490196.L, Xetrov90007419m.S, loc100493106.L, Xelaev18017031m.g, loc101731215.L, Xelaev18021585m.g, Xelaev18021583m.g, loc101731686.L, Xelaev18017037m.g, Xelaev18017036m.g, loc101734840.S, Xelaev18017062m.g, Xetrov90007415m.S, Xetrov90007378m.S, Xetrov90007451m.L, loc101732081.S, Xelaev18017084m.g, Xetrov90007434m.S, Xelaev18021578m.g, Xetrov90007402m.L, Xelaev18021579m.g, loc101732081.L, Xelaev18017029m.g, Xetrov90007416m.L, Xelaev18017041m.g, Xelaev18017080m.g, Xetrov90007417m.S, pcdhga11.L, Xetrov90007372m.L, pcdhgc4.S, Xelaev18021587m.g, Xelaev18021580m.g, Xelaev18017027m.g, Xelaev18021582m.g, Xelaev18017060m.g, loc105946885.L, Xetrov90007418m.L, Xelaev18017039m.g, pcdhgc4.L, Xelaev18017086m.g, Xelaev18017034m.g, Xelaev18017082m.g, Xelaev18017083m.g, Xetrov90007436m.L, Xelaev18017064m.g, Xelaev18017033m.g, Xelaev18021577m.g, Xetrov90007374m.L, loc101731572.L, pcdhgb7.L, Xelaev18021562m.g, loc101731450.L, Xelaev18021575m.g, Xelaev18017035m.g, Xelaev18021556m.g, Xetrov90007418m.S, Xelaev18017030m.g, loc101734840.L, loc101734317.L, Xetrov90007405m.S, Xetrov90007435m.L, Xelaev18021555m.g, loc100493596.L, Xelaev18021591m.g, loc100492310.S, Xelaev18021576m.g, Xetrov90007374m.S, loc101733946.S, loc100494436.L, Xelaev18021581m.g, Xelaev18021594m.g, loc101733840.L, loc101733840.S, Xelaev18017063m.g, loc100489983.L, Xelaev18017038m.g, Xetrov90007416m.S, Xelaev18017023m.g, Xelaev18017044m.g, Xetrov90007450m.S, Xetrov90007449m.L, pcdha8.L, Xelaev18021551m.g, Xetrov90007440m.L, loc101734467.L, Xelaev18017040m.g, Xetrov90007453m.L, loc100492310.L, Xelaev18017087m.g, loc101733947.L, Xelaev18021558m.g, Xetrov90007400m.S, Xelaev18017025m.g, Xetrov90007436m.S, loc101734768.S, Xetrov90007417m.L, Xetrov90007432m.L, loc101733894.L, Xelaev18017081m.g, Xetrov90007434m.L, Xelaev18021552m.g, loc101733946.L, loc101731154.S, Xetrov90007419m.L, loc101731032.S, Xetrov90007402m.S, Xetrov90007399m.S, loc101731572.S, Xelaev18017028m.g, loc101734004.L, Xelaev18017042m.g, Xelaev18017043m.g, pcdhac2.S","protocadherin gamma subfamily A, 2 [Xenopus laevis], LOC398725 protein [Xenopus laevis], NA","PCDHAC1, PCDHGA10, PCDHGA4, PCDHGA8, PCDHA11, PCDHGA9, PCDHGA7, PCDHA3, PCDHGA12, PCDHGA11, PCDHGA5, PCDHA8, PCDHGA6, PCDHA5, PCDHA13, PCDHGA3, PCDHA7, PCDHGA1, PCDHA6, PCDHA4, PCDHGA2, PCDHA2, PCDHA9, PCDHA10, PCDHA12, PCDHA1, PCDHAC2, PCDHB15, PCDHB13, PCDHGC5, PCDHB8, PCDHB9, PCDHB11, PCDHB5, PCDHGC3, PCDHB10, PCDHB4, PCDHB1, PCDHGC4",Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain
ENOG411CPAU,rab35.L,"RAB35 protein [Xenopus laevis], RAB35, member RAS oncogene family [Xenopus laevis], NA",RAB35,"RAB35, member RAS oncogene family"
ENOG411CPAV,"sntg1.L, sntg1.S",NA,SNTG1,"syntrophin, gamma 1"
ENOG411CPAW,"sh3gl2.S, sh3gl3.S, sh3gl3.L, sh3gl1.S","SH3-domain GRB2-like 2 [Xenopus laevis], SH3-domain GRB2-like 3 [Xenopus laevis], SH3-domain GRB2-like 1 [Xenopus laevis], uncharacterized protein LOC496320 [Xenopus laevis], uncharacterized protein LOC494702 [Xenopus laevis], MGC78966 protein [Xenopus laevis], NA","SH3GL2, SH3GL3, SH3GL1",SH3-domain GRB2-like
ENOG411CPAX,rp2.L,"protein XRP2 [Xenopus laevis], NA",RP2,Retinitis pigmentosa 2 (X-linked recessive)
ENOG411CPAY,"clip3.L, clip4.S, clip4.L","CAP-Gly domain-containing linker protein 3 [Xenopus laevis], NA",CLIP3,CAP-GLY domain containing linker protein
ENOG411CPAZ,loc100495245.L,NA,NA,Anoctamin
ENOG411CPB0,"wbp4.S, wbp4.L","MGC81630 protein [Xenopus laevis], WW domain binding protein 4 (formin binding protein 21) [Xenopus laevis], NA",WBP4,WW domain binding protein 4
ENOG411CPB1,"msi1.S, Xelaev18012844m.g, msi1.L","nrp-1B [Xenopus laevis], musashi homolog 2 [Xenopus laevis], musashi homolog 1 [Xenopus laevis], Ribonucleoprotein [Xenopus laevis], Msi1h protein [Xenopus laevis], NA","MSI1, MSI2",musashi homolog
ENOG411CPB3,phc3.L,NA,PHC3,polyhomeotic homolog 3 (Drosophila)
ENOG411CPB4,ythdc2.L,NA,YTHDC2,YTH domain containing 2
ENOG411CPB5,"inf2.S, inf2.L","inverted formin-2 [Xenopus laevis], LOC495032 protein [Xenopus laevis], NA",INF2,"inverted formin, FH2 and WH2 domain containing"
ENOG411CPB6,"myzap.S, myzap.L",NA,MYZAP,GRINL1A complex locus
ENOG411CPB7,"foxi4.1.S, foxi1.S","forkhead box protein I1c [Xenopus laevis], forkhead box protein I1-ema [Xenopus laevis], NA","FOXI1, FOXI3",forkhead box
ENOG411CPB8,NA,uncharacterized protein LOC494718 [Xenopus laevis],"DGCR6, DGCR6L",DiGeorge syndrome critical region gene
ENOG411CPB9,grwd1.S,"MGC83609 protein [Xenopus laevis], Grwd-pending-prov protein [Xenopus laevis], glutamate-rich WD repeat containing 1 [Xenopus laevis], NA",GRWD1,Glutamate-rich WD repeat containing 1
ENOG411CPBB,slx4ip.S,"uncharacterized protein LOC431903 [Xenopus laevis], NA",SLX4IP,SLX4 interacting protein
ENOG411CPBC,"got2.S, got2.L","aspartate aminotransferase 2 [Xenopus laevis], NA",GOT2,"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
ENOG411CPBD,"Xetrov90020468m.L, Xetrov90020468m.1, diaph3.L",NA,NA,Diaphanous homolog
ENOG411CPBE,cir1.L,"LOC446936 protein [Xenopus laevis], NA",CIR1,"corepressor interacting with RBPJ, 1"
ENOG411CPBF,"taf2.L, taf2.S","TAF2 protein [Xenopus laevis], NA",TAF2,"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa"
ENOG411CPBG,"Xelaev18046997m.g, Xelaev18046998m.g, mgat5.L",NA,MGAT5,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
ENOG411CPBH,clpb.L,NA,CLPB,ClpB caseinolytic peptidase B homolog (E. coli)
ENOG411CPBI,"clgn.S, clgn.L","calnexin precursor [Xenopus laevis], calnexin [Xenopus laevis], NA","CANX, CLGN",Calnexin
ENOG411CPBJ,"abcc1.S, abcc6.L, abcc1.L, abcc3.L, abcc3.S",NA,"ABCC1, ABCC3, ABCC6","ATP-binding cassette, sub-family C (CFTR MRP), member"
ENOG411CPBK,gucy1a2.S,NA,GUCY1A2,"Guanylate cyclase 1, soluble, alpha 2"
ENOG411CPBM,"apcdd1l.L, apcdd1l.S, apcdd1.S","protein APCDD1 [Xenopus laevis], Primglo [Xenopus laevis], NA","APCDD1, APCDD1L",Adenomatosis polyposis coli down-regulated
ENOG411CPBN,"rpf1.S, rpf1.L","ribosome production factor 1 homolog [Xenopus laevis], RNA processing factor 1 [Xenopus laevis], NA",RPF1,ribosome production factor 1 homolog (S. cerevisiae)
ENOG411CPBP,"loc100493271.S, prlhr.S, prlhr.L, loc100493271.L",NA,PRLHR,Prolactin releasing hormone receptor
ENOG411CPBQ,"prpf38b.L, prpf38b.S",NA,PRPF38B,PRP38 pre-mRNA processing factor 38 (Yeast) domain containing B
ENOG411CPBS,"as3mt.1.L, as3mt.2.L","LOC100037130 protein [Xenopus laevis], NA",AS3MT,( 3 oxidation state) methyltransferase
ENOG411CPBT,"kif5c.L, kif5b.L, kif5c.S, kif5a.S, kif5a.L, kif5b.S","kinesin heavy chain [Xenopus laevis], NA","KIF5C, KIF5A, KIF5B",Kinesin family member
ENOG411CPBU,"pigg.S, pigg.L",NA,PIGG,"phosphatidylinositol glycan anchor biosynthesis, class G"
ENOG411CPBV,"slc35c1.S, slc35c1.L",NA,SLC35C1,Solute carrier family 35 member C1
ENOG411CPBX,"Xelaev18003239m.g, c16orf58.L, c16orf58.S",NA,C16orf58,Chromosome 16 open reading frame 58
ENOG411CPBY,gclm.L,"glutamate-cysteine ligase, modifier subunit [Xenopus laevis], NA",GCLM,Glutamate--cysteine ligase modifier subunit
ENOG411CPBZ,otub2.S,"OTU domain, ubiquitin aldehyde binding 2 [Xenopus laevis], NA",OTUB2,"OTU domain, ubiquitin aldehyde binding 2"
ENOG411CPC0,"znf839.L, znf839.S",NA,ZNF839,Zinc finger protein 839
ENOG411CPC1,ercc5.L,"DNA repair protein complementing XP-G cells homolog [Xenopus laevis], RecName: Full=DNA repair protein complementing XP-G cells homolog; AltName: Full=Xeroderma pigmentosum group G-complementing protein homolog, NA",NA,"excision repair cross-complementing rodent repair deficiency, complementation group 5"
ENOG411CPC2,mettl17.L,"methyltransferase like 17 [Xenopus laevis], NA",METTL17,Methyltransferase like 17
ENOG411CPC3,mtmr14.S,"myotubularin related protein 14 [Xenopus laevis], NA",MTMR14,Myotubularin related protein 14
ENOG411CPC4,"tmprss11f.S, tmprss11f.L, Xelaev18005903m.g, tmprss11a.S",NA,"TMPRSS11E, TMPRSS11F, TMPRSS11A",transmembrane protease serine
ENOG411CPC5,"rasip1.L, rasip1.S",NA,RASIP1,Ras interacting protein 1
ENOG411CPC7,loc100489375.S,"RDS/peripherin-like protein xRDS36 [Xenopus laevis], MGC84108 protein [Xenopus laevis], peripherin 2 (retinal degeneration, slow) [Xenopus laevis], peripherin-2 [Xenopus laevis], MGC84161 protein [Xenopus laevis], Rds36 protein [Xenopus laevis], Unknown (protein for MGC:84273) [Xenopus laevis], NA",PRPH2,"peripherin 2 (retinal degeneration, slow)"
ENOG411CPC9,slc30a7.S,"zinc transporter 7-A [Xenopus laevis], zinc transporter 7-B [Xenopus laevis], NA",SLC30A7,"solute carrier family 30 (zinc transporter), member 7"
ENOG411CPCA,"MGC108450.L, slc25a15.L, loc100495907-like.L",NA,"SLC25A15, SLC25A2",Solute carrier family 25 (Mitochondrial carrier
ENOG411CPCC,"erc1.L, erc1.S, erc2.L, Xelaev18003037m.g, Xelaev18001784m.g",NA,"ERC1, ERC2",ELKS RAB6-interacting CAST family member
ENOG411CPCD,cbr4.L,"carbonyl reductase family member 4 [Xenopus laevis], NA",CBR4,carbonyl reductase 4
ENOG411CPCE,"mat2a.S, mat1a.S, mat1a.L","methionine adenosyltransferase II, alpha [Xenopus laevis], M(2)21ab-prov protein [Xenopus laevis], NA","MAT2A, MAT1A",Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity)
ENOG411CPCF,NA,"ionotropic glutamate receptor subunit KA1 [Xenopus laevis], ionotropic glutamate receptor subunit KA2 [Xenopus laevis]",NA,"Glutamate receptor ionotropic, kainate"
ENOG411CPCG,en1.S,"engrailed homeobox 1 [Xenopus laevis], homeobox protein engrailed-2-A [Xenopus laevis], homeobox protein engrailed-2-B [Xenopus laevis], RecName: Full=Homeobox protein engrailed-1-B; Short=En-1B; Short=Homeobox protein en-1-B, Engrailed homolog 2 [Xenopus laevis], homeobox protein En-1a, homeobox protein En-1b, En-1a homeobox protein [Xenopus laevis], En-1b homeobox protein [Xenopus laevis], NA","EN1, EN2",engrailed homeobox
ENOG411CPCI,loc101735269.L,"Cyhr1-b protein [Xenopus laevis], Unknown (protein for IMAGE:7207269) [Xenopus laevis], Cyhr1-a protein [Xenopus laevis], NA",CYHR1,cysteine histidine-rich 1
ENOG411CPCJ,"asb16.L, asb18.S, Xetrov90030730m.L, asb18.L",NA,"ASB18, ASB10, ASB16",Ankyrin repeat and SOCS box containing
ENOG411CPCK,"st6galnac6.S, st6galnac6.L",NA,ST6GALNAC6,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
ENOG411CPCM,"s1pr3.L, s1pr1.S, s1pr3.S","sphingosine-1-phosphate receptor 1 [Xenopus laevis], NA","S1PR3, S1PR1",Sphingosine-1-phosphate receptor
ENOG411CPCN,"rmnd5a.L, rmnd5a.S","protein RMD5 homolog A [Xenopus laevis], NA","RMND5B, RMND5A",Required for meiotic nuclear division 5 homolog
ENOG411CPCP,wdr31.L,NA,WDR31,WD repeat domain 31
ENOG411CPCR,"fgfbp3.S, fgfbp3.L","LOC100127330 protein [Xenopus laevis], NA",FGFBP3,fibroblast growth factor binding protein 3
ENOG411CPCS,"gan.L, gan.S","gigaxonin [Xenopus laevis], NA",GAN,Gigaxonin
ENOG411CPCT,ap4m1.L,"adaptor-related protein complex 4, mu 1 subunit [Xenopus laevis], NA",AP4M1,"adaptor-related protein complex 4, mu 1 subunit"
ENOG411CPCU,Xelaev18020360m.g,"TIA1 cytotoxic granule-associated RNA binding protein [Xenopus laevis], TIA-1 protein [Xenopus laevis], TIA1 cytotoxic granule-associated RNA binding protein-like 1 [Xenopus laevis], NA",TIA1,TIA1 cytotoxic granule-associated RNA binding protein
ENOG411CPCW,NA,dCMP deaminase [Xenopus laevis],DCTD,dCMP deaminase
ENOG411CPCX,"ak2.L, ak2.S","adenylate kinase 2, mitochondrial [Xenopus laevis], NA",AK2,Adenylate kinase 2
ENOG411CPCY,"osbpl8.S, osbpl8.L","LOC446929 protein [Xenopus laevis], NA","OSBPL8, OSBPL5",oxysterol binding protein-like
ENOG411CPCZ,uchl3.S,"ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) [Xenopus laevis], NA",UCHL3,Ubiquitin carboxyl-terminal esterase L3 (Ubiquitin thiolesterase)
ENOG411CPD0,"msx2.S, msx2.L","LOC100125666 protein [Xenopus laevis], Unknown (protein for IMAGE:8318596) [Xenopus laevis], Xhox-7.1 [Xenopus laevis, Peptide, 294 aa], homeobox protein XHOX-7.1 [Xenopus laevis], MSX1 protein [Xenopus laevis], RecName: Full=Homeobox protein XHOX-7.1, RecName: Full=Homeobox protein XHOX-7.1', NA","MSX1, MSX2",Msh homeobox
ENOG411CPD1,"atp13a4.L, loc100497259.L, Xetrov90014421m.L, loc100496476.L, atp13a5.L, atp13a4.S, loc100496476.S, atp13a3.L, atp13a-like.L, atp13a-like.S","probable cation-transporting ATPase 13A4 [Xenopus laevis], MGC84593 protein [Xenopus laevis], NA","ATP13A4, ATP13A3, ATP13A5",ATPase type
ENOG411CPD2,ercc6l.L,NA,ERCC6L,"excision repair cross-complementing rodent repair deficiency, complementation group 6-like"
ENOG411CPD3,atp5a1.S,"RecName: Full=ATP synthase subunit alpha, mitochondrial; Flags: Precursor, ATP synthase subunit alpha, mitochondrial [Xenopus laevis], ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1 [Xenopus laevis], NA",ATP5F1A,Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
ENOG411CPD4,abcb6.L,NA,ABCB6,"ATP-binding cassette, subfamily B (MDR TAP), member 6"
ENOG411CPD5,"ap1s2.S, ap1s1.S, ap1s2.L","adaptor-related protein complex 1, sigma 2 subunit [Xenopus laevis], adaptor-related protein complex 1, sigma 1 subunit [Xenopus laevis], Ap1s1 protein [Xenopus laevis], NA","AP1S1, AP1S2","Adaptor-related protein complex 1, sigma"
ENOG411CPD6,"Xetrov90004342m.S, Xelaev18014225m.g, Xelaev18011601m.g",NA,FILIP1L,filamin A interacting protein 1-like
ENOG411CPD7,"ints3.L, ints3.S","LOC495409 protein [Xenopus laevis], NA",INTS3,Integrator complex subunit 3
ENOG411CPD8,NA,"TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa [Xenopus laevis], uncharacterized protein LOC734892 [Xenopus laevis]",TAF5L,"TAF5-like RNA polymerase II, p300 CBP-associated factor (PCAF)-associated factor"
ENOG411CPD9,"slc6a17.S, slc6a15.S, slc6a15.L",NA,"SLC6A15, SLC6A17",solute carrier family 6
ENOG411CPDA,cubn.L,NA,CUBN,cubilin (intrinsic factor-cobalamin receptor)
ENOG411CPDC,"stk39.S, loc100488948.L, loc100488948.S","Stk39 protein [Xenopus laevis], odd-skipped related 1 [Xenopus laevis], Stk39-prov protein [Xenopus laevis], NA","OXSR1, STK39",oxidative-stress responsive 1
ENOG411CPDD,"Xelaev18030308m.g, abhd1.L, abhd1.S, abhd3.L","abhydrolase domain containing 1 [Xenopus laevis], abhydrolase domain containing 3 [Xenopus laevis], ABHD3 protein [Xenopus laevis], NA","ABHD3, ABHD1",Abhydrolase domain containing
ENOG411CPDE,tex36.S,NA,TEX36,testis expressed 36
ENOG411CPDF,"tex261.S, tex261.L","testis expressed 261 [Xenopus laevis], NA",TEX261,testis expressed 261
ENOG411CPDG,"epha7.L, epha7.S",NA,EPHA7,EPH receptor A7
ENOG411CPDH,"Xelaev18041711m.g, Xelaev18004128m.g, Xelaev18004130m.g","adenylate kinase 1 [Xenopus laevis], NA",AK1,Adenylate kinase 1
ENOG411CPDI,"prr14l.L, prr14l.S","LOC100037015 protein [Xenopus laevis], NA",PRR14L,Proline rich 14-like
ENOG411CPDJ,"dysf-like.L, myof.L",NA,DYSF,"Dysferlin, limb girdle muscular dystrophy 2B (Autosomal recessive)"
ENOG411CPDK,"tubb.S, tubb2b.L, loc100498230.S, tubb3.S, tubb4a.L","LOC100037222 protein [Xenopus laevis], RecName: Full=Tubulin beta-2 chain; AltName: Full=Beta-2-tubulin, uncharacterized protein LOC446922 [Xenopus laevis], tubulin beta-4 chain [Xenopus laevis], uncharacterized protein LOC379566 [Xenopus laevis], uncharacterized protein LOC379202 [Xenopus laevis], tubulin, beta 4 [Xenopus laevis], tubulin, beta 6 [Xenopus laevis], tubulin beta chain [Xenopus laevis], tubulin, beta 3 [Xenopus laevis], LOC446922 protein [Xenopus laevis], NA","TUBB3, TUBB6, TUBB4B, TUBB2B, TUBB, TUBB2A, TUBB4A","Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)"
ENOG411CPDM,cfap61.L,NA,CFAP61,chromosome 20 open reading frame 26
ENOG411CPDN,aldh3a2.L,"aldehyde dehydrogenase 3 family, member A2 [Xenopus laevis], uncharacterized protein LOC496316 [Xenopus laevis], NA","ALDH3A2, ALDH3A1",Aldehyde dehydrogenase 3 family member
ENOG411CPDQ,"adar.L, adar.S, Xelaev18001677m.g","adenosine deaminase, RNA-specific [Xenopus laevis], dsRNA adenosine deaminase [Xenopus laevis], Unknown (protein for MGC:196762) [Xenopus laevis], NA",ADAR,"Adenosine deaminase, RNA-specific"
ENOG411CPDR,"pygl.L, loc100491051-like.L, pygl.S, loc100491051-like.S","LOC100037229 protein [Xenopus laevis], uncharacterized protein LOC432134 [Xenopus laevis], liver glycogen phosphorylase [Xenopus laevis], brain glycogen phosphorylase [Xenopus laevis], NA","PYGB, PYGM, PYGL","Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"
